Meta,ID,Owner,Deck,Played,Wins,Elo,Active
BMT,a799163f9afb711dfccd06edfb27c461497df5a98839fa8ba5716de0feeef3ee,Ghstflame,Challenge Deck,3,1,1012.365955,0
BMT,6b05103a2c6e7b16c8f7103668c8d0c8ea18a2087ce3d2d92f2fa2a7eb232eeb,Ghstflame,Dragons,36,7,902.946186194942,1
BMT,e08278e63ec93e33337f34b1f15526d139ab046dbec9d093fe05826a5ba1ee28,Ghstflame,Firesong & Sunspeaker,5,2,1027.49723,0
BMT,436fe606ce20089eff1b812f0d3f7cfcd5048947b37eb36ecf188e182fcdf421,Ghstflame,Garthifacts,27,5,891.1954215,0
BMT,41029ca8665a96e258854534b9343a09886eaba8ae1fe31fd05f769aef74e78f,Ghstflame,Hitchhikers Guide to the Multiverse,4,2,1072.467574,0
BMT,410c5b9af7602f3215af2c086e411b62fb4bc2d0d7514ae78c25541dfd98de7b,Ghstflame,I AM... Blue,17,4,940.368824,0
BMT,551a37a2134c879bae312c9ce9b58d43d70d486936573c0b50f794580d215571,Ghstflame,"Jinnie Fay, Jetmir's Second",6,1,942.3825093,0
BMT,1bca11c920a8a101f9bc734c83c49b5bcacbe5dd34489acebd731e4de5319d5a,Ghstflame,Jon iRATicus,2,1,1034.057131,0
BMT,d9a188f8dbeb184b4c5cfa2bc7f0089e981cf60475c5e965c2aea8df24debe56,Ghstflame,Juri Duty,9,1,932.6807926,0
BMT,ea89e6e14852e92a4d00ce2c525843b717a56ebb5fd389ccc4588c87e2427953,Ghstflame,Krenko Mob Boss,26,5,875.240757896347,1
BMT,e6174d7b5781f35eb5ccba9802cf5b0165acfe7b84ded9d37e7cea0d3c2bd92f,Ghstflame,Lathriel Lifegain,1,0,980.1013568,0
BMT,45b14794815059be509a6e7058b9a4c1f16240d03e63a0739b74e73896893c64,Ghstflame,Minsc & Boo vs The World,37,7,854.1898614,0
BMT,6f31da55d6e662a94f4b8e84e0058df5cddfda947ef71fed76e6d44b749f8f08,Ghstflame,Niv-Mizzet Parun,19,7,1033.85947631369,1
BMT,9cdb4881e87de26ed6ee17e7c769764211c609a4b4f5ceb158f77ca44399dd8a,Ghstflame,Reanimation Nation,18,5,969.9569082,1
BMT,d6cd10cd3acb06fe936e9c006b2e66225f4450f38364c8a1972b8803bda878b8,Ghstflame,Skullbriar Smash,25,7,1009.938008,1
BMT,ebbee1391659dbf963467f7c383fcbfdf031012b5ddaab2a17551043bb8f8a88,Ghstflame,The Flavor Green,16,4,983.9285263,0
BMT,36dc5b5ae647f410d3f0e2233185455254cc839d806f0eae663816d3c9be70b2,Ghstflame,Wings of Destiny,9,1,906.8040803,0
BMT,f8f30fe4e87e6993c700c19693fafa1df123cbac31ea038e7c11487bce985953,Macrosage,"Caesar, Legion's Emperor",1,0,972.1546892,1
SevensOnly,585c10c90fceb2df23598057f160f9fe7fe983135d96cf6ec82d3a435536cff5,Macrosage,"Kenrith, Lord of Legends",1,1,1038.784009,1
SevensOnly,67cbe09e1a1e43e0b9ce0d7d6cc9d802517d658add5764756c53bf51f4507edd,Macrosage,"Ob Nixilis, Captive Kingpin",2,1,1019.993058,1
SevensOnly,c53c11eb8870a9fb0b58fd97b1bef5b5627504b7c83aa99e2fc4fe8d2d9a5328,Macrosage,Omnasty,1,0,979.983229,1
SevensOnly,32e8127e46584ee8887776b6aab888f1e68499528178b9d5476bf07a43b695a4,Macrosage,Shoraki,1,0,980,1
BMT,f0c29539c5022af0352a2db5bf22d7a38c841b4649d84862a53533b9c9310796,Macrosage,"Shorikai, Genesis Engine",1,0,979.9966727,1
BMT,1bd797f0a09fbb1639037a3637540b80061aad56a49d0859f5b7aac9d3ff7996,Macrosage,Sidar Knights,1,1,1041.859477,1
SevensOnly,1adf63c37e53c632d3cd7d4c87a5bfb3a847223a96a35d077ebbd766139d92fa,Macrosage,Tuvasa es Mivasa,2,0,959.8789964,1
SevensOnly,b940e017fa741c0b079142bf4ee3d15a9d9aa9cb12048fd89a070ec9c8ac5a9d,RedFerret,"Brago, King of Value Town",0,0,1000,1
SevensOnly,29c18d6195a7e7736ea0772056029deef4e3e1708380cd0f9c924e9494e1beae,RedFerret,Deadly Overgrowth - Peter,1,0,980,1
SevensOnly,fd6a77a4e20e6b742e99496fd35aa5b4f24350cb358766943a9dc0299c955709,RedFerret,Mayael's Slumber Party,1,1,1058.849977,1
SevensOnly,3dcb98fb2ac2353420fda7fcfb9178e9bfbbfd2637e6f399d3f84ae91769d30b,RedFerret,Squirrels Just Wanna Have Fun - Peter,2,1,1022.300045,1
BMT,4538e458fce552b11f72697d99208ed0124dd6a07474a0ad2cf3ba04899a022c,Tank,40k Calgar,7,0,878.481943,1
BMT,19401aeeb544ad97a518c0408032a786a6e76cc0c1ea37c468a50d36a6a9dea3,Tank,"Alela, Cunning Goad",7,3,1051.880172,1
BMT,93b5bc534e7b7f5844235038f95d82203cb97958accdbff895893934556581b5,Tank,Aminatou Blink,7,1,933.5431392,0
BMT,4b66a4834642d7978cc28b812aac2230f06468f74f7ef42f8816c52405225060,Tank,"Arcades, the Strategist",0,0,1000,0
BMT,a78b6af89d8cde094429901064ef7f008fd88a8337be66477e90aa7448c09d26,Tank,"Arjun, the Shifting Flame",0,0,1000,0
BMT,e45ad362e976e6c0d5d507b81bfd18b41f0f9a3b07e43f505568d4108f5b6136,Tank,Atla's Angels,9,1,895.787147,0
BMT,15596c083131889aff60c5d05f7688291e65052960867b91c6131c1d43308a30,Tank,"Braids, Arisen Nightmare",10,2,977.9462194,0
BMT,2e36e6321d1c4bbfe8a8f8ab84aab440ad3e2d11125b87e23ec30625be48fc78,Tank,Breya Artifact Sac,9,3,985.7753763,0
BMT,a1b25f20b5f5edf276285147f0f273e0c251b397f4773c6a9553acd98a4486f4,Tank,Challenge Deck,4,2,1041.002803,0
BMT,3ea5ab607423e35b092a4112a2f99e6e0b82dd13f4672bf917270d1bc5a4fe6b,Tank,Disa's Monster Mash,18,6,1015.875644,1
BMT,042f9efe804b0331ad3fb2c5843237cd295f3037521803cef12e8c007cb1c168,Tank,Discount Super Friends,3,0,945.7908745,0
BMT,75283719ff0538e79acfdbdc41f6ff071ccdcb6a1001bb94e8fb43d128505ff3,Tank,Eriette's Gifts,23,4,892.445634102023,1
BMT,c2cb9639378fa7cb6a401308883385c3fd57ca84eeb84e97c3d20daed047cc08,Tank,IMDABES,17,6,990.3534425,1
BMT,c6d8f7c3e2ad27fe5f6d9d284d8647f13d55c9c5e2debc017a57cf2aba61e6a7,Tank,"Marisi, Breaker of the Coil",1,0,973.1895227,0
BMT,0a82a2bd7e1ee77aa3e6456f41c1641b666bad65adb28e15816a7bd9130dee63,Tank,Narci's Fables,11,2,942.9412477,0
BMT,c71a407a4dedb5b2c514fc333c36aa7a70fe2bf69cea00c86e1447f179997fa7,Tank,Rith's Dragons,18,8,1039.678295,1
BMT,c363ddf71e9901b84df7bc5dcda39ec6d60dd4aa9593d536c3039b0fd3a40349,Tank,Shadowborns Apostle,9,0,854.702809,0
BMT,935e0a04469ff5bc011c9882f208d1291be2539185a3ea0a6040819cd1de5b7a,Tank,Squirrel Squad,15,1,802.6759112,1
BMT,114da0b1f4a69c6f77da524fa7756d8f741287c578afc8188ec80748273c2a70,Tank,Toots with the Pir,24,3,890.8748116,0
BMT,3b04ceb2a674d3254fae809658d98fd77354c36720a9151784e4c3703af9fdc8,Tank,Urza's Legion,19,4,968.1152487,1
BMT,ab7768b207523ceb9f5201c1d7cbc965a98fc73c16b8b0e5917f77d52111e8ea,Tank,"Ziatora, the Incinerator",46,12,927.026106556652,1
BMT,ffe60a2f51e6a106b5834e22d3db22794409356a38dbf5fe6db19fb80d651136,Tank,Zimone & Pumba,26,11,1117.96597920551,1
BMT,17014e28fe7b4c1c2f12a1effe9f2252274ef43f351f1d4c07e26e64f5271d01,Wedgetable,Agatha's Special Sauce,6,1,945.4711247,0
